"","new_start","new_end","Location"
"277",2019-12-31,2020-07-01,"kenya_A000756"
"278",2020-07-01,2020-12-31,"kenya_A000756"
"279",2020-12-31,2021-07-01,"kenya_A000756"
"280",2021-07-01,2021-12-31,"kenya_A000756"
"281",2021-12-31,2022-07-01,"kenya_A000756"
"282",2022-07-01,2022-12-31,"kenya_A000756"
"283",2022-12-31,2023-03-01,"kenya_A000756"
"284",2017-12-31,2018-07-01,"kenya_A000769"
"285",2018-07-01,2018-12-31,"kenya_A000769"
"286",2018-12-31,2019-07-01,"kenya_A000769"
"287",2019-07-01,2019-12-31,"kenya_A000769"
"288",2019-12-31,2020-07-01,"kenya_A000769"
"289",2020-07-01,2020-12-31,"kenya_A000769"
"290",2020-12-31,2021-07-01,"kenya_A000769"
"291",2021-07-01,2021-12-31,"kenya_A000769"
"292",2021-12-31,2022-07-01,"kenya_A000769"
"293",2022-07-01,2022-12-31,"kenya_A000769"
"294",2022-12-31,2023-03-01,"kenya_A000769"
"295",2017-12-31,2018-07-01,"kenya_A000793"
"296",2018-07-01,2018-12-31,"kenya_A000793"
"297",2018-12-31,2019-07-01,"kenya_A000793"
"298",2019-07-01,2019-12-31,"kenya_A000793"
"299",2019-12-31,2020-07-01,"kenya_A000793"
"300",2020-07-01,2020-12-31,"kenya_A000793"
"301",2020-12-31,2021-07-01,"kenya_A000793"
"302",2021-07-01,2021-12-31,"kenya_A000793"
"303",2021-12-31,2022-07-01,"kenya_A000793"
"304",2022-07-01,2022-12-31,"kenya_A000793"
"305",2022-12-31,2023-03-01,"kenya_A000793"
"306",2019-11-02,2020-05-02,"planet_C004251"
"307",2020-05-02,2020-11-02,"planet_C004251"
"308",2020-11-02,2021-03-01,"planet_C004251"
"309",2019-11-02,2020-05-02,"planet_C003748"
"310",2020-05-02,2020-11-02,"planet_C003748"
"311",2020-11-02,2021-03-01,"planet_C003748"
"312",2019-11-02,2020-05-02,"planet_C004213"
"313",2020-05-02,2020-11-02,"planet_C004213"
"314",2020-11-02,2021-03-01,"planet_C004213"
"315",2019-11-02,2020-05-02,"planet_C003759"
"316",2020-05-02,2020-11-02,"planet_C003759"
"317",2020-11-02,2021-03-01,"planet_C003759"
"318",2019-11-02,2020-05-02,"planet_C004247"
"319",2020-05-02,2020-11-02,"planet_C004247"
"320",2020-11-02,2021-03-01,"planet_C004247"
"321",2019-11-02,2020-05-02,"planet_C003946"
"322",2020-05-02,2020-11-02,"planet_C003946"
"323",2020-11-02,2021-03-01,"planet_C003946"
"324",2019-11-02,2020-05-02,"planet_C003721"
"325",2020-05-02,2020-11-02,"planet_C003721"
"326",2020-11-02,2021-03-01,"planet_C003721"
"327",2019-11-02,2020-05-02,"planet_C003733"
"328",2020-05-02,2020-11-02,"planet_C003733"
"329",2020-11-02,2021-03-01,"planet_C003733"
"330",2019-11-02,2020-05-02,"planet_C003969"
"331",2020-05-02,2020-11-02,"planet_C003969"
"332",2020-11-02,2021-03-01,"planet_C003969"
"333",2019-11-02,2020-05-02,"planet_C003798"
"334",2020-05-02,2020-11-02,"planet_C003798"
"335",2020-11-02,2021-03-01,"planet_C003798"
"336",2019-11-02,2020-05-02,"planet_C004022"
"337",2020-05-02,2020-11-02,"planet_C004022"
"338",2020-11-02,2021-03-01,"planet_C004022"
"339",2019-11-02,2020-05-02,"planet_C003987"
"340",2020-05-02,2020-11-02,"planet_C003987"
"341",2020-11-02,2021-03-01,"planet_C003987"
"342",2019-11-02,2020-05-02,"planet_C003737"
"343",2020-05-02,2020-11-02,"planet_C003737"
"344",2020-11-02,2021-03-01,"planet_C003737"
"345",2019-11-02,2020-05-02,"planet_C004271"
"346",2020-05-02,2020-11-02,"planet_C004271"
"347",2020-11-02,2021-03-01,"planet_C004271"
"348",2019-11-02,2020-05-02,"planet_C004203"
"349",2020-05-02,2020-11-02,"planet_C004203"
"350",2020-11-02,2021-03-01,"planet_C004203"
"351",2019-11-02,2020-05-02,"planet_C004151"
"352",2020-05-02,2020-11-02,"planet_C004151"
"353",2020-11-02,2021-03-01,"planet_C004151"
"354",2019-11-02,2020-05-02,"planet_C003918"
"355",2020-05-02,2020-11-02,"planet_C003918"
"356",2020-11-02,2021-03-01,"planet_C003918"
"357",2019-11-02,2020-05-02,"planet_C003766"
"358",2020-05-02,2020-11-02,"planet_C003766"
"359",2020-11-02,2021-03-01,"planet_C003766"
"360",2019-11-02,2020-05-02,"planet_C003804"
"361",2020-05-02,2020-11-02,"planet_C003804"
"362",2020-11-02,2021-03-01,"planet_C003804"
"363",2019-11-02,2020-05-02,"planet_C003110"
"364",2020-05-02,2020-11-02,"planet_C003110"
"365",2020-11-02,2021-03-01,"planet_C003110"
"366",2019-11-02,2020-05-02,"planet_C003163"
"367",2020-05-02,2020-11-02,"planet_C003163"
"368",2020-11-02,2021-03-01,"planet_C003163"
"369",2019-11-02,2020-05-02,"planet_C004327"
"370",2020-05-02,2020-11-02,"planet_C004327"
"371",2020-11-02,2021-03-01,"planet_C004327"
"372",2019-11-02,2020-05-02,"planet_C003891"
"373",2020-05-02,2020-11-02,"planet_C003891"
"374",2020-11-02,2021-03-01,"planet_C003891"
"375",2019-11-02,2020-05-02,"planet_C003937"
"376",2020-05-02,2020-11-02,"planet_C003937"
"377",2020-11-02,2021-03-01,"planet_C003937"
"378",2019-11-02,2020-05-02,"planet_C003908"
"379",2020-05-02,2020-11-02,"planet_C003908"
"380",2020-11-02,2021-03-01,"planet_C003908"
"381",2019-11-02,2020-05-02,"planet_C004194"
"382",2020-05-02,2020-11-02,"planet_C004194"
"383",2020-11-02,2021-03-01,"planet_C004194"
"384",2019-11-02,2020-05-02,"planet_C003923"
"385",2020-05-02,2020-11-02,"planet_C003923"
"386",2020-11-02,2021-03-01,"planet_C003923"
"387",2019-11-02,2020-05-02,"planet_C004201"
"388",2020-05-02,2020-11-02,"planet_C004201"
"389",2020-11-02,2021-03-01,"planet_C004201"
"390",2019-11-02,2020-05-02,"planet_C003942"
"391",2020-05-02,2020-11-02,"planet_C003942"
"392",2020-11-02,2021-03-01,"planet_C003942"
"393",2019-11-02,2020-05-02,"planet_C004256"
"394",2020-05-02,2020-11-02,"planet_C004256"
"395",2020-11-02,2021-03-01,"planet_C004256"
"396",2019-11-02,2020-05-02,"planet_C004140"
"397",2020-05-02,2020-11-02,"planet_C004140"
"398",2020-11-02,2021-03-01,"planet_C004140"
"399",2019-11-02,2020-05-02,"planet_C004334"
"400",2020-05-02,2020-11-02,"planet_C004334"
"401",2020-11-02,2021-03-01,"planet_C004334"
"402",2019-11-02,2020-05-02,"planet_C003757"
"403",2020-05-02,2020-11-02,"planet_C003757"
"404",2020-11-02,2021-03-01,"planet_C003757"
"405",2019-11-02,2020-05-02,"planet_C003794"
"406",2020-05-02,2020-11-02,"planet_C003794"
"407",2020-11-02,2021-03-01,"planet_C003794"
"408",2019-11-02,2020-05-02,"planet_C004347"
"409",2020-05-02,2020-11-02,"planet_C004347"
"410",2020-11-02,2021-03-01,"planet_C004347"
"411",2019-11-02,2020-05-02,"planet_C003897"
"412",2020-05-02,2020-11-02,"planet_C003897"
"413",2020-11-02,2021-03-01,"planet_C003897"
"414",2019-11-02,2020-05-02,"planet_C003755"
"415",2020-05-02,2020-11-02,"planet_C003755"
"416",2020-11-02,2021-03-01,"planet_C003755"
"417",2019-11-02,2020-05-02,"planet_C003310"
"418",2020-05-02,2020-11-02,"planet_C003310"
"419",2020-11-02,2021-03-01,"planet_C003310"
"420",2019-11-02,2020-05-02,"planet_C004290"
"421",2020-05-02,2020-11-02,"planet_C004290"
"422",2020-11-02,2021-03-01,"planet_C004290"
"423",2019-11-02,2020-05-02,"planet_C003944"
"424",2020-05-02,2020-11-02,"planet_C003944"
"425",2020-11-02,2021-03-01,"planet_C003944"
"426",2019-11-02,2020-05-02,"planet_C003781"
"427",2020-05-02,2020-11-02,"planet_C003781"
"428",2020-11-02,2021-03-01,"planet_C003781"
"429",2019-11-02,2020-05-02,"planet_C003614"
"430",2020-05-02,2020-11-02,"planet_C003614"
"431",2020-11-02,2021-03-01,"planet_C003614"
"432",2019-11-02,2020-05-02,"planet_C003849"
"433",2020-05-02,2020-11-02,"planet_C003849"
"434",2020-11-02,2021-03-01,"planet_C003849"
"435",2019-11-02,2020-05-02,"planet_C003957"
"436",2020-05-02,2020-11-02,"planet_C003957"
"437",2020-11-02,2021-03-01,"planet_C003957"
"438",2019-11-02,2020-05-02,"planet_C003939"
"439",2020-05-02,2020-11-02,"planet_C003939"
"440",2020-11-02,2021-03-01,"planet_C003939"
"441",2019-11-02,2020-05-02,"planet_C003938"
"442",2020-05-02,2020-11-02,"planet_C003938"
"443",2020-11-02,2021-03-01,"planet_C003938"
"444",2019-11-02,2020-05-02,"planet_C003824"
"445",2020-05-02,2020-11-02,"planet_C003824"
"446",2020-11-02,2021-03-01,"planet_C003824"
"447",2019-11-02,2020-05-02,"planet_C003924"
"448",2020-05-02,2020-11-02,"planet_C003924"
"449",2020-11-02,2021-03-01,"planet_C003924"
"450",2019-11-02,2020-05-02,"planet_C004180"
"451",2020-05-02,2020-11-02,"planet_C004180"
"452",2020-11-02,2021-03-01,"planet_C004180"
"453",2019-11-02,2020-05-02,"planet_C004272"
"454",2020-05-02,2020-11-02,"planet_C004272"
"455",2020-11-02,2021-03-01,"planet_C004272"
"456",2019-11-02,2020-05-02,"planet_C004339"
"457",2020-05-02,2020-11-02,"planet_C004339"
"458",2020-11-02,2021-03-01,"planet_C004339"
"459",2019-11-02,2020-05-02,"planet_C003895"
"460",2020-05-02,2020-11-02,"planet_C003895"
"461",2020-11-02,2021-03-01,"planet_C003895"
"462",2019-11-02,2020-05-02,"planet_C003962"
"463",2020-05-02,2020-11-02,"planet_C003962"
"464",2020-11-02,2021-03-01,"planet_C003962"
"465",2019-11-02,2020-05-02,"planet_C003607"
"466",2020-05-02,2020-11-02,"planet_C003607"
"467",2020-11-02,2021-03-01,"planet_C003607"
"468",2019-11-02,2020-05-02,"planet_C003961"
"469",2020-05-02,2020-11-02,"planet_C003961"
"470",2020-11-02,2021-03-01,"planet_C003961"
"471",2019-11-02,2020-05-02,"planet_C003725"
"472",2020-05-02,2020-11-02,"planet_C003725"
"473",2020-11-02,2021-03-01,"planet_C003725"
"474",2019-11-02,2020-05-02,"planet_C004344"
"475",2020-05-02,2020-11-02,"planet_C004344"
"476",2020-11-02,2021-03-01,"planet_C004344"
"477",2019-11-02,2020-05-02,"planet_C003911"
"478",2020-05-02,2020-11-02,"planet_C003911"
"479",2020-11-02,2021-03-01,"planet_C003911"
"480",2019-11-02,2020-05-02,"planet_C003165"
"481",2020-05-02,2020-11-02,"planet_C003165"
"482",2020-11-02,2021-03-01,"planet_C003165"
"483",2019-11-02,2020-05-02,"planet_C003214"
"484",2020-05-02,2020-11-02,"planet_C003214"
"485",2020-11-02,2021-03-01,"planet_C003214"
"486",2019-11-02,2020-05-02,"planet_C003873"
"487",2020-05-02,2020-11-02,"planet_C003873"
"488",2020-11-02,2021-03-01,"planet_C003873"
"489",2019-11-02,2020-05-02,"planet_C003819"
"490",2020-05-02,2020-11-02,"planet_C003819"
"491",2020-11-02,2021-03-01,"planet_C003819"
"492",2019-11-02,2020-05-02,"planet_C003341"
"493",2020-05-02,2020-11-02,"planet_C003341"
"494",2020-11-02,2021-03-01,"planet_C003341"
"495",2019-11-02,2020-05-02,"planet_C003363"
"496",2020-05-02,2020-11-02,"planet_C003363"
"497",2020-11-02,2021-03-01,"planet_C003363"
"498",2019-11-02,2020-05-02,"planet_C003366"
"499",2020-05-02,2020-11-02,"planet_C003366"
"500",2020-11-02,2021-03-01,"planet_C003366"
"501",2019-11-02,2020-05-02,"planet_C003142"
"502",2020-05-02,2020-11-02,"planet_C003142"
"503",2020-11-02,2021-03-01,"planet_C003142"
"504",2019-11-02,2020-05-02,"planet_C003290"
"505",2020-05-02,2020-11-02,"planet_C003290"
"506",2020-11-02,2021-03-01,"planet_C003290"
"507",2019-11-02,2020-05-02,"planet_C003060"
"508",2020-05-02,2020-11-02,"planet_C003060"
"509",2020-11-02,2021-03-01,"planet_C003060"
"510",2019-11-02,2020-05-02,"planet_C004349"
"511",2020-05-02,2020-11-02,"planet_C004349"
"512",2020-11-02,2021-03-01,"planet_C004349"
"513",2019-11-02,2020-05-02,"planet_C003960"
"514",2020-05-02,2020-11-02,"planet_C003960"
"515",2020-11-02,2021-03-01,"planet_C003960"
"516",2019-11-02,2020-05-02,"planet_C004336"
"517",2020-05-02,2020-11-02,"planet_C004336"
"518",2020-11-02,2021-03-01,"planet_C004336"
"519",2019-11-02,2020-05-02,"planet_C004182"
"520",2020-05-02,2020-11-02,"planet_C004182"
