,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
57,102,-96.44205454,41.18204474,planet_C003939,C003939,,,planet,2020-01-01,2020-12-31,230,250,c22b554e-b700-460a-af4e-a253e1c4a338,N
58,103,-96.44201275,41.18203172,planet_C003938,C003938,,,planet,2020-01-01,2020-12-31,230,250,9fb19c08-2e40-480a-9ee5-63172789d2fb,N
59,104,-96.4392773,41.18204551,planet_C003824,C003824,,,planet,2020-01-01,2020-12-31,250,250,1766cadc-3e0e-46b2-aedb-65ed3d0c820a,N
60,105,-96.43930824,41.18205041,planet_C003924,C003924,,,planet,2020-01-01,2020-12-31,250,250,8766fb37-e69c-4d6b-b523-1e298114f6c2,N
61,112,-100.7709436,41.08686318,planet_C003961,C003961,,,planet,2020-01-01,2020-12-31,225,250,a297fb64-122f-4dda-8115-fefa482a5e6c,Y
62,113,-100.7709495,41.08686976,planet_C003725,C003725,,,planet,2020-01-01,2020-12-31,225,250,becbe026-5dd5-4bc3-9e3c-384c7b74cdd8,Y
63,114,-100.7715292,41.0868552,planet_C004344,C004344,,,planet,2020-01-01,2020-12-31,225,250,00f50d32-80f9-4cd1-9275-655552a30627,Y
64,115,-100.7714884,41.08684583,planet_C003911,C003911,,,planet,2020-01-01,2020-12-31,225,250,c127b01f-8011-439a-abbf-01a3cd38f1b4,N
65,116,-100.7708632,41.08749824,planet_C003165,C003165,,,planet,2020-01-01,2020-12-31,225,250,f7f46d24-6f72-4b7a-a9ce-0f6a4a33681a,Y
66,117,-100.7708379,41.08747041,planet_C003214,C003214,,,planet,2020-01-01,2020-12-31,225,250,5b6d72f8-2ddd-453c-8378-c8065e2c9907,Y
67,118,-100.7712817,41.08749169,planet_C003873,C003873,,,planet,2020-01-01,2020-12-31,225,250,a91d0487-e841-4c48-b6e4-de7de0cafe2f,Y
